m,n_m,variant,reps,n_qubits,multiplier,shots,error_rate,seed,success_noisy,success_ideal,seconds,angles
15,4,uniform,1,17,hrs,2048,-1.0,0,,0.054439,22.4,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,2048,0.0001,0,0.050781,0.054439,180.9,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,2048,0.01,0,0.012695,0.054439,162.1,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,2048,0.1,0,0.017578,0.054439,161.3,"[2.81389078, 1.05313005]"
15,4,uniform,1,17,hrs,2048,-1.0,1,,0.054439,13.4,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,2048,0.0001,1,0.041504,0.054439,161.3,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,2048,0.01,1,0.013184,0.054439,161.1,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,2048,0.1,1,0.015137,0.054439,158.4,"[2.81383406, 4.19468841]"
15,4,uniform,1,17,hrs,2048,-1.0,2,,0.093386,17.0,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,2048,0.0001,2,0.066406,0.093386,161.3,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,2048,0.01,2,0.016602,0.093386,161.6,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,2048,0.1,2,0.015137,0.093386,161.0,"[2.76113263, 2.66516615]"
15,4,uniform,1,17,hrs,2048,-1.0,3,,0.093386,14.9,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,2048,0.0001,3,0.070312,0.093386,159.5,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,2048,0.01,3,0.016113,0.093386,183.4,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,2048,0.1,3,0.015137,0.093386,164.6,"[0.38047938, 0.47643451]"
15,4,uniform,1,17,hrs,2048,-1.0,4,,0.093386,18.2,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,2048,0.0001,4,0.068848,0.093386,172.5,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,2048,0.01,4,0.013672,0.093386,159.2,"[2.76113369, 2.6652472]"
15,4,uniform,1,17,hrs,2048,0.1,4,0.016113,0.093386,159.5,"[2.76113369, 2.6652472]"
15,4,reduced,1,17,hrs,2048,-1.0,0,,0.224083,15.3,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,2048,0.0001,0,0.157715,0.224083,166.6,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,2048,0.01,0,0.012207,0.224083,166.6,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,2048,0.1,0,0.011719,0.224083,166.6,"[2.0363593, 0.45735543]"
15,4,reduced,1,17,hrs,2048,-1.0,1,,0.224083,23.4,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,2048,0.0001,1,0.153809,0.224083,165.8,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,2048,0.01,1,0.014648,0.224083,166.6,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,2048,0.1,1,0.01709,0.224083,165.2,"[2.03631566, 3.598941]"
15,4,reduced,1,17,hrs,2048,-1.0,2,,0.224083,25.7,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,2048,0.0001,2,0.155762,0.224083,166.3,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,2048,0.01,2,0.01416,0.224083,166.7,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,2048,0.1,2,0.016602,0.224083,166.4,"[2.03621636, 0.45739654]"
15,4,reduced,1,17,hrs,2048,-1.0,3,,0.224083,20.7,"[2.03625674, 0.457361]"
15,4,reduced,1,17,hrs,2048,0.0001,3,0.158691,0.224083,165.3,"[2.03625674, 0.457361]"
15,4,reduced,1,17,hrs,2048,0.01,3,0.015137,0.224083,165.6,"[2.03625674, 0.457361]"
15,4,reduced,1,17,hrs,2048,0.1,3,0.013672,0.224083,165.5,"[2.03625674, 0.457361]"
15,4,reduced,1,17,hrs,2048,-1.0,4,,0.224083,18.0,"[5.1781727, 0.4573558]"
15,4,reduced,1,17,hrs,2048,0.0001,4,0.158203,0.224083,165.1,"[5.1781727, 0.4573558]"
15,4,reduced,1,17,hrs,2048,0.01,4,0.015625,0.224083,165.2,"[5.1781727, 0.4573558]"
15,4,reduced,1,17,hrs,2048,0.1,4,0.013184,0.224083,164.5,"[5.1781727, 0.4573558]"
15,4,uniform,2,17,hrs,2048,-1.0,0,,0.131198,74.3,"[2.90449123, 0.50191515, 0.77719418, -0.35824751]"
15,4,uniform,2,17,hrs,2048,0.0001,0,0.068848,0.131198,300.8,"[2.90449123, 0.50191515, 0.77719418, -0.35824751]"
15,4,uniform,2,17,hrs,2048,0.01,0,0.016113,0.131198,301.9,"[2.90449123, 0.50191515, 0.77719418, -0.35824751]"
15,4,uniform,2,17,hrs,2048,0.1,0,0.014648,0.131198,301.4,"[2.90449123, 0.50191515, 0.77719418, -0.35824751]"
15,4,uniform,2,17,hrs,2048,-1.0,1,,0.092107,82.4,"[1.71498276, 2.76444284, 1.41679447, 2.76091275]"
15,4,uniform,2,17,hrs,2048,0.0001,1,0.050293,0.092107,310.0,"[1.71498276, 2.76444284, 1.41679447, 2.76091275]"
15,4,uniform,2,17,hrs,2048,0.01,1,0.020508,0.092107,313.9,"[1.71498276, 2.76444284, 1.41679447, 2.76091275]"
15,4,uniform,2,17,hrs,2048,0.1,1,0.012695,0.092107,309.2,"[1.71498276, 2.76444284, 1.41679447, 2.76091275]"
15,4,uniform,2,17,hrs,2048,-1.0,2,,0.095743,110.3,"[1.68178776, 1.07957037, 2.68975998, 0.07499237]"
15,4,uniform,2,17,hrs,2048,0.0001,2,0.060547,0.095743,330.7,"[1.68178776, 1.07957037, 2.68975998, 0.07499237]"
15,4,uniform,2,17,hrs,2048,0.01,2,0.027832,0.095743,314.2,"[1.68178776, 1.07957037, 2.68975998, 0.07499237]"
15,4,uniform,2,17,hrs,2048,0.1,2,0.015625,0.095743,310.2,"[1.68178776, 1.07957037, 2.68975998, 0.07499237]"
15,4,uniform,2,17,hrs,2048,-1.0,3,,0.037717,110.5,"[0.23360512, 1.81104216, 2.84661552, 1.94191604]"
15,4,uniform,2,17,hrs,2048,0.0001,3,0.032227,0.037717,306.6,"[0.23360512, 1.81104216, 2.84661552, 1.94191604]"
15,4,uniform,2,17,hrs,2048,0.01,3,0.022949,0.037717,315.7,"[0.23360512, 1.81104216, 2.84661552, 1.94191604]"
15,4,uniform,2,17,hrs,2048,0.1,3,0.016113,0.037717,291.1,"[0.23360512, 1.81104216, 2.84661552, 1.94191604]"
15,4,uniform,2,17,hrs,2048,-1.0,4,,0.078376,80.1,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,uniform,2,17,hrs,2048,0.0001,4,0.038086,0.078376,300.6,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,uniform,2,17,hrs,2048,0.01,4,0.016602,0.078376,299.2,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,uniform,2,17,hrs,2048,0.1,4,0.013672,0.078376,303.1,"[3.86474098, 0.76530467, 2.27920796, 1.89027999]"
15,4,reduced,2,17,hrs,2048,-1.0,0,,0.366267,86.4,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,2048,0.0001,0,0.203613,0.366267,324.0,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,2048,0.01,0,0.015625,0.366267,322.6,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,2048,0.1,0,0.013184,0.366267,317.2,"[2.12955006, 2.21211318, 0.34216868, 0.52894341]"
15,4,reduced,2,17,hrs,2048,-1.0,1,,0.366305,73.6,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,2048,0.0001,1,0.195312,0.366305,315.2,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,2048,0.01,1,0.012207,0.366305,326.4,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,2048,0.1,1,0.01123,0.366305,328.8,"[2.12396117, 2.22524011, 0.344031, 3.668995]"
15,4,reduced,2,17,hrs,2048,-1.0,2,,0.301206,111.3,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,2048,0.0001,2,0.161133,0.301206,323.0,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,2048,0.01,2,0.010254,0.301206,328.1,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,2048,0.1,2,0.01416,0.301206,325.3,"[2.32338084, 1.3748173, 2.52588909, 0.307396]"
15,4,reduced,2,17,hrs,2048,-1.0,3,,0.366304,113.6,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,2048,0.0001,3,0.188477,0.366304,328.1,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,2048,0.01,3,0.013184,0.366304,328.9,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,2048,0.1,3,0.01416,0.366304,328.7,"[1.01801091, 0.91576112, 2.79752068, 2.61423944]"
15,4,reduced,2,17,hrs,2048,-1.0,4,,0.34755,97.8,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,2048,0.0001,4,0.183105,0.34755,328.4,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,2048,0.01,4,0.015137,0.34755,327.8,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,reduced,2,17,hrs,2048,0.1,4,0.016602,0.34755,327.9,"[3.83676272, 2.17194975, 2.66900104, 0.93254472]"
15,4,uniform,3,17,hrs,2048,-1.0,0,,0.158738,160.7,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,2048,0.0001,0,0.074219,0.158738,467.4,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,2048,0.01,0,0.013184,0.158738,464.6,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,2048,0.1,0,0.016113,0.158738,461.7,"[3.89547639, 1.46831769, 1.26989387, 0.32070571, 2.8431503, 3.37139513]"
15,4,uniform,3,17,hrs,2048,-1.0,1,,0.196356,157.8,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,2048,0.0001,1,0.09375,0.196356,460.0,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,2048,0.01,1,0.01709,0.196356,464.3,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,2048,0.1,1,0.02002,0.196356,462.2,"[2.57769346, 3.41535816, 0.18665079, 2.68757599, 2.09631665, 1.17907098]"
15,4,uniform,3,17,hrs,2048,-1.0,2,,0.17378,160.1,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,0.0001,2,0.070312,0.17378,462.6,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,0.01,2,0.01709,0.17378,464.7,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,0.1,2,0.021484,0.17378,477.9,"[2.08808421, 1.15003328, 2.88339741, 0.47715215, 1.77213253, 2.20802889]"
15,4,uniform,3,17,hrs,2048,-1.0,3,,0.074036,163.4,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.0001,3,0.03418,0.074036,462.2,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.01,3,0.012695,0.074036,466.4,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,0.1,3,0.01709,0.074036,449.9,"[0.3589139, 1.95265263, 2.32604991, 2.23691301, 0.14030992, 1.53462569]"
15,4,uniform,3,17,hrs,2048,-1.0,4,,0.097529,117.4,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.0001,4,0.049316,0.097529,450.1,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.01,4,0.015137,0.097529,451.7,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,uniform,3,17,hrs,2048,0.1,4,0.014648,0.097529,447.2,"[2.62709673, 1.88038817, 2.80268316, 0.09308164, 2.83708956, 1.04343706]"
15,4,reduced,3,17,hrs,2048,-1.0,0,,0.432574,120.8,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.0001,0,0.166504,0.432574,467.8,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.01,0,0.017578,0.432574,483.0,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,0.1,0,0.019043,0.432574,478.3,"[2.55325126, 1.03124568, 0.73802763, 0.60692531, 2.15387864, 2.5658654]"
15,4,reduced,3,17,hrs,2048,-1.0,1,,0.420052,125.7,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.0001,1,0.157715,0.420052,470.9,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.01,1,0.019531,0.420052,489.6,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,0.1,1,0.013672,0.420052,490.2,"[0.82369767, 4.49106987, 0.92389747, 2.78604904, 1.01996193, 1.5348139]"
15,4,reduced,3,17,hrs,2048,-1.0,2,,0.434116,127.3,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,0.0001,2,0.16748,0.434116,481.5,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,0.01,2,0.018555,0.434116,484.8,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,0.1,2,0.018066,0.434116,476.3,"[2.33292484, 1.5261749, 2.22856478, 0.41611798, 2.12188097, 1.61872323]"
15,4,reduced,3,17,hrs,2048,-1.0,3,,0.398221,121.9,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.0001,3,0.157227,0.398221,521.2,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.01,3,0.018066,0.398221,545.5,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,0.1,3,0.016113,0.398221,530.8,"[-0.69501002, 1.02668561, 2.31902917, 2.46539743, 0.30236802, 0.85258226]"
15,4,reduced,3,17,hrs,2048,-1.0,4,,0.441136,132.3,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.0001,4,0.169922,0.441136,493.3,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.01,4,0.018066,0.441136,511.2,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,reduced,3,17,hrs,2048,0.1,4,0.013672,0.441136,490.9,"[2.28123743, 1.19675566, 2.4253726, 0.4504151, 2.14228395, 1.57540981]"
15,4,uniform,4,17,hrs,2048,-1.0,0,,0.171579,123.0,"[1.93533212, 0.77324418, 0.25886867, 0.13096389, 2.70776228, 3.06560086, 2.04525965, 2.84812292]"
